epoch,train_loss,train_acc,val_loss,val_acc,val_f1,lr,epoch_time,best_val_acc,model_type,data_ratio,use_amp,use_strong_aug,seed
89,0.789825,0.897000,1.056581,0.788000,0.787000,0.0000107826,33.19,0.791600,cnn,0.1,True,False,42
90,0.794231,0.897000,1.062551,0.787400,0.786530,0.0000091003,34.29,0.791600,cnn,0.1,True,False,42
91,0.788022,0.896400,1.057937,0.786400,0.785166,0.0000075727,34.99,0.791600,cnn,0.1,True,False,42
92,0.787049,0.898600,1.055382,0.790000,0.788732,0.0000062013,34.51,0.791600,cnn,0.1,True,False,42
93,0.781939,0.903000,1.052789,0.788200,0.786887,0.0000049877,34.79,0.791600,cnn,0.1,True,False,42
94,0.780303,0.902600,1.052730,0.789900,0.788846,0.0000039332,35.06,0.791600,cnn,0.1,True,False,42
95,0.783063,0.901600,1.054622,0.789800,0.788886,0.0000030390,33.98,0.791600,cnn,0.1,True,False,42
96,0.774245,0.903400,1.054060,0.788000,0.787043,0.0000023060,34.48,0.791600,cnn,0.1,True,False,42
97,0.773453,0.906600,1.053381,0.789500,0.788574,0.0000017351,33.23,0.791600,cnn,0.1,True,False,42
98,0.782805,0.902400,1.054813,0.788800,0.787786,0.0000013269,33.50,0.791600,cnn,0.1,True,False,42
99,0.785486,0.902400,1.053585,0.788800,0.787864,0.0000010817,32.99,0.791600,cnn,0.1,True,False,42
100,0.776778,0.905800,1.054451,0.788700,0.787911,0.0000010000,34.44,0.791600,cnn,0.1,True,False,42
